label,키워드,횟수
사고 및 보상 문의,보험,3219
사고 및 보상 문의,보상,2704
사고 및 보상 문의,청구,2112
사고 및 보상 문의,보장,1196
사고 및 보상 문의,서류,1085
사고 및 보상 문의,보험금,1013
사고 및 보상 문의,사고,957
사고 및 보상 문의,가요,946
사고 및 보상 문의,가입,881
사고 및 보상 문의,치료,844
상품 가입 및 해지,보험,4845
상품 가입 및 해지,가입,3981
상품 가입 및 해지,통장,1252
상품 가입 및 해지,보장,1170
상품 가입 및 해지,가요,1093
상품 가입 및 해지,보험료,1040
상품 가입 및 해지,상품,985
상품 가입 및 해지,연금,939
상품 가입 및 해지,서류,935
상품 가입 및 해지,은행,807
"이체, 출금, 대출서비스",대출,4914
"이체, 출금, 대출서비스",이체,2507
"이체, 출금, 대출서비스",한도,1452
"이체, 출금, 대출서비스",은행,1364
"이체, 출금, 대출서비스",출금,1163
"이체, 출금, 대출서비스",계좌,1074
"이체, 출금, 대출서비스",인터넷,1022
"이체, 출금, 대출서비스",가요,950
"이체, 출금, 대출서비스",통장,934
"이체, 출금, 대출서비스",뱅킹,895
잔고 및 거래내역,거래,2256
잔고 및 거래내역,통장,1335
잔고 및 거래내역,조회,1296
잔고 및 거래내역,은행,1220
잔고 및 거래내역,계좌,1166
잔고 및 거래내역,카드,833
잔고 및 거래내역,보험,831
잔고 및 거래내역,잔고,780
잔고 및 거래내역,가요,702
잔고 및 거래내역,잔액,665
